('working', 'bummer') = 11.939109013042417
('waiting', 'acknowledge') = 11.939109013042417
('whom', 'joy') = 11.939109013042417
('patient', 'incredible') = 11.939109013042417
('bummer', 'charge') = 11.939109013042417
('groceries', 'buy') = 11.939109013042417
('span', 'weekend') = 11.939109013042417
('responsive', 'arrogant') = 11.939109013042417
('low', 'idea') = 11.939109013042417
('careful', 'distance') = 11.939109013042417
('careful', 'one') = 11.939109013042417
('careful', 'lot') = 11.939109013042417
('fold', 'day') = 11.939109013042417
('fold', 'one') = 11.939109013042417
('wages', 'part') = 11.939109013042417
('sleepers', 'beware') = 11.939109013042417
('potatoes', 'stuffed') = 11.939109013042417
('important', 'features') = 11.939109013042417
('spoke', 'keeping') = 11.939109013042417
('nuisance', 'bit') = 11.939109013042417
('did', 'keeping') = 11.939109013042417
('negative', 'review') = 11.939109013042417
('headache', 'gave') = 11.939109013042417
('decent', 'price') = 11.939109013042417
('was', 'downside') = 11.932335784446991
('better', 'breakfast') = 11.922405083201827
('appreciate', 'hope') = 11.920000190094713
('shared', 'rooms') = 11.910539860845647
('memorial', 'service') = 11.910539860845647
('high', 'standard') = 11.907400153315079
('fantastic', 'food') = 11.901141162843397
('superior', 'room') = 11.898467028545072
('find', 'what') = 11.874620286590703
('fruit', 'sausage') = 11.868719685151019
('fitness', 'room') = 11.868719685151019
('toast', 'sausage') = 11.868719685151019
('for', 'review') = 11.86510843159864
('make', 'way') = 11.858072440951512
('helpful', 'staff') = 11.846786461706104
('ask', 'reception') = 11.845999608650937
('another', 'review') = 11.845999608650937
('into', 'contact') = 11.845999608650937
('accessible', 'elevator') = 11.845999608650937
('best', 'part') = 11.835632893092676
('true', 'condition') = 11.828077700653674
('different', 'breakfast') = 11.828077700653674
('hospitable', 'impeccable') = 11.828077700653674
('exceptional', 'staff') = 11.824937993123106
('available', 'food') = 11.812136156784652
('friendly', 'staff') = 11.810871385247335
('reward', 'waste') = 11.801605489292482
('modest', 'charge') = 11.801605489292482
('modest', 'one') = 11.801605489292482
('modest', 'price') = 11.801605489292482
('socket', 'one') = 11.801605489292482
('spend', 'weekend') = 11.801605489292482
('accessible', 'room') = 11.79155182462856
('delight', 'pool') = 11.775610280759539
('flowers', 'vibrant') = 11.775610280759539
('typical', 'food') = 11.775610280759539
('terrific', 'view') = 11.775610280759539
('fabulous', 'food') = 11.775610280759539
('important', 'service') = 11.758536767400596
('perfect', 'getaway') = 11.758536767400596
('find', 'way') = 11.75176353880517
('favorite', 'one') = 11.74646393510002
('favorite', 'restaurant') = 11.74646393510002
('enjoy', 'breakfast') = 11.72498420768957
('face', 'smile') = 11.697607768758266
('justice', 'do') = 11.6881474395092
('shared', 'one') = 11.676074607208625
('wallpaper', 'flowery') = 11.676074607208625
('reach', 'bit') = 11.676074607208625
('reach', 'floor') = 11.676074607208625
('shabby', 'part') = 11.676074607208625
('shabby', 'shape') = 11.676074607208625
('put', 'period') = 11.676074607208625
('put', 'acknowledge') = 11.676074607208625
('decorated', 'period') = 11.676074607208625
('walked', 'period') = 11.676074607208625
('beat', 'forgettable') = 11.676074607208625
('proper', 'shape') = 11.676074607208625
('proper', 'restaurant') = 11.676074607208625
('challenge', 'bit') = 11.676074607208625
('4', 'will') = 11.676074607208625
('overlook', 'lot') = 11.676074607208625
('delayed', 'day') = 11.676074607208625
('memorial', 'day') = 11.676074607208625
('incentive', 'one') = 11.676074607208625
('greatest', 'restaurant') = 11.676074607208625
('recommend', 'will') = 11.676074607208625
('aware', 'charge') = 11.676074607208625
('falling', 'lot') = 11.676074607208625
('fabulous', 'restaurant') = 11.676074607208625
('babies', 'screaming') = 11.676074607208623
('luxurious', 'concern') = 11.676074607208623
('offers', 'safety') = 11.676074607208623
('humid', 'problem') = 11.676074607208623
('relief', 'what') = 11.676074607208623
('pristine', 'condition') = 11.676074607208623
('lukewarm', 'served') = 11.676074607208623
('accepted', 'people') = 11.676074607208623
('accepted', 'moved') = 11.676074607208623
('strong', 'cool') = 11.676074607208623
('strong', 'problem') = 11.676074607208623
('responsive', 'concern') = 11.676074607208623
('ask', 'safety') = 11.676074607208623
('score', 'book') = 11.676074607208623
('score', 'spot') = 11.676074607208623
('careful', 'people') = 11.676074607208623
('important', 'sleep') = 11.676074607208623
('cheapness', 'what') = 11.676074607208623
('precaution', 'safety') = 11.676074607208623
('tip', 'adjusted') = 11.676074607208623
('felt', 'safety') = 11.676074607208623
('hope', 'glad') = 11.676074607208623
('pets', 'accept') = 11.676074607208623
('path', 'beaten') = 11.672072676651128
('complimentary', 'food') = 11.660133063339602
('easy', 'walk') = 11.641027660109422
('expect', 'lot') = 11.636546243021986
('new', 'one') = 11.63168048785017
('immaculate', 'rooms') = 11.628768892430267
('fantastic', 'restaurant') = 11.608960411350086
('waste', 'time') = 11.607977090825216
('big', 'rooms') = 11.606533673955546
('web', 'on') = 11.605685279317226
('little', 'gem') = 11.598072095207351
('good', 'value') = 11.597754425924796
('courteous', 'staff') = 11.593612447016652
('ticket', 'buy') = 11.582965202817142
('managers', 'reception') = 11.582965202817142
('frills', 'understood') = 11.582965202817142
('inspection', 'further') = 11.560597389788688
('rehearsal', 'comforting') = 11.560597389788688
('come', 'keeping') = 11.560597389788688
('wine', 'reception') = 11.551938307196517
('parties', 'legendary') = 11.538571083458688
('own', 'charm') = 11.538571083458688
('surprised', 'size') = 11.538571083458688
('outstanding', 'food') = 11.538571083458688
('accommodating', 'staff') = 11.537246902511306
('excellent', 'restaurant') = 11.535212071368774
('animals', 'stuffed') = 11.524071513763573
('favorite', 'part') = 11.524071513763573
('overpriced', 'motel') = 11.50614960576631
('knowledgeable', 'area') = 11.503009898235744
('lovely', 'view') = 11.502591786353122
('shabby', 'rooms') = 11.495502361566803
